Report Date,Year,Cumulative Score
2015-03-01,2015,
2016-03-01,2016,36.103336199125266
2017-03-01,2017,37.939469858883484
2018-03-01,2018,48.43010510043927
2019-03-01,2019,47.83741093400625
2020-03-01,2020,48.16171486620789
2021-03-01,2021,59.72964648336941
2022-03-01,2022,56.25243708060643
2023-03-01,2023,67.68024814517861
2024-03-01,2024,47.86563133218324
